Frames that have non-zero fusion/fission events (chunk-based):
Frame 350: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 351: Fussion_2 = 0, Fussion_1 = 3, Fission = 5
Frame 352: Fussion_2 = 2, Fussion_1 = 4, Fission = 5
Frame 353: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 354: Fussion_2 = 4, Fussion_1 = 4, Fission = 8
Frame 355: Fussion_2 = 1, Fussion_1 = 2, Fission = 6
Frame 356: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 357: Fussion_2 = 3, Fussion_1 = 3, Fission = 6
Frame 358: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 359: Fussion_2 = 2, Fussion_1 = 5, Fission = 7
Frame 360: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 361: Fussion_2 = 0, Fussion_1 = 5, Fission = 5
Frame 362: Fussion_2 = 2, Fussion_1 = 0, Fission = 6
Frame 363: Fussion_2 = 0, Fussion_1 = 5, Fission = 3
Frame 364: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
Frame 365: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 366: Fussion_2 = 3, Fussion_1 = 4, Fission = 6
Frame 367: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 368: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 369: Fussion_2 = 0, Fussion_1 = 4, Fission = 4
Frame 370: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 371: Fussion_2 = 0, Fussion_1 = 5, Fission = 6
Frame 372: Fussion_2 = 1, Fussion_1 = 1, Fission = 4
Frame 373: Fussion_2 = 1, Fussion_1 = 5, Fission = 4
Frame 374: Fussion_2 = 1, Fussion_1 = 7, Fission = 9
Frame 375: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 376: Fussion_2 = 1, Fussion_1 = 6, Fission = 8
Frame 377: Fussion_2 = 3, Fussion_1 = 3, Fission = 5
Frame 378: Fussion_2 = 1, Fussion_1 = 1, Fission = 1
Frame 379: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 380: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 381: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 382: Fussion_2 = 2, Fussion_1 = 2, Fission = 3
Frame 383: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 384: Fussion_2 = 4, Fussion_1 = 3, Fission = 6
Frame 385: Fussion_2 = 2, Fussion_1 = 3, Fission = 4
Frame 386: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 387: Fussion_2 = 2, Fussion_1 = 3, Fission = 6
Frame 388: Fussion_2 = 2, Fussion_1 = 4, Fission = 5
Frame 389: Fussion_2 = 6, Fussion_1 = 3, Fission = 10
Frame 390: Fussion_2 = 2, Fussion_1 = 5, Fission = 6
Frame 391: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 392: Fussion_2 = 1, Fussion_1 = 3, Fission = 2
Frame 393: Fussion_2 = 1, Fussion_1 = 3, Fission = 5
Frame 394: Fussion_2 = 3, Fussion_1 = 4, Fission = 6
Frame 395: Fussion_2 = 2, Fussion_1 = 3, Fission = 7
Frame 396: Fussion_2 = 6, Fussion_1 = 3, Fission = 6
Frame 397: Fussion_2 = 1, Fussion_1 = 0, Fission = 1
Frame 398: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 399: Fussion_2 = 0, Fussion_1 = 1, Fission = 1
